ref_id,name,category,book,tabula,modern_location,recension,lon_ptolemy,lat_ptolemy,naming_observation,feature_id,sequence_in_feature,feature_closes_loop,river_feature_id,river_sequence_in_feature,island_feature_id,island_sequence_in_feature,island_feature_closes_loop,mountain_feature_id,mountain_sequence_in_feature
2.03.05.06,Hohe Klippe,coast,Europe,EU01,Tarbat Ness,Omega,29.0,59.6666666666667,no specific keyword match; section header names a sea/ocean/gulf,coastline_001_EU01,43,1,,,,,,,
2.03.05.07,Loxa-Mündung,river_mouth,Europe,EU01,,Omega,28.5,59.6666666666667,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,44,1,,,,,,,
2.03.05.08,Varar-Ästuar,coast,Europe,EU01,,Omega,27.5,59.0,matches estuary pattern (Ästuar),coastline_001_EU01,45,1,,,,,,,
2.03.05.09,Tuesis-Ästuar,coast,Europe,EU01,Spey Bay,Omega,27.0,59.0,matches estuary pattern (Ästuar),coastline_001_EU01,46,1,,,,,,,
2.03.05.10,Celnius-Mündung (Caelis-Mündung),river_mouth,Europe,EU01,Deveron-Mündung,Omega,27.0,58.75,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,47,1,,,,,,,
2.03.05.11,Kap der Täzaler,coast,Europe,EU01,Kinnairds Head,Omega,27.5,58.5,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,48,1,,,,,,,
2.03.05.12,Deva-Mündung,river_mouth,Europe,EU01,Dee-Mündung,Omega,26.0,58.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,49,1,river_000_Deva,1,,,,,
2.03.05.13,Tava-Ästuar,coast,Europe,EU01,Firth of Tay,Omega,25.0,58.5,matches estuary pattern (Ästuar),coastline_001_EU01,50,1,,,,,,,
2.03.05.14,Tina-Mündung,river_mouth,Europe,EU01,,Omega,24.0,58.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,51,1,,,,,,,
2.03.05.15,Boderia-Ästuar,coast,Europe,EU01,Firth of Forth,Omega,22.5,58.75,matches estuary pattern (Ästuar),coastline_001_EU01,52,1,,,,,,,
2.03.06.01,Alaunus-Mündung,river_mouth,Europe,EU01,Aln-Mündung,Omega,21.6666666666667,58.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,53,1,river_001_Alaunus,1,,,,,
2.03.06.02,Vedra-Mündung,river_mouth,Europe,EU01,Wear-Mündung,Omega,20.1666666666667,58.5,"matches 'Mündung' (river mouth) - coastal, colored separately",coastline_001_EU01,54,1,,,,,,,
2.03.06.03,Golf von Dunum,coast,Europe,EU01,Tees Bay,Omega,20.25,57.5,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,55,1,,,,,,,
2.03.06.04,Hafenreicher Golf der Gabrantoviken,coast,Europe,EU01,Bridlington Bay,Omega,21.0,57.0,matches gulf/bay pattern (Golf/Bucht/Meerbusen),coastline_001_EU01,56,1,,,,,,,
2.03.06.05,Kap des Ocelus,coast,Europe,EU01,Spurn Head,Omega,21.25,56.6666666666667,contains 'Kap' (cape) - coastal regardless of any mountain-range aside,coastline_001_EU01,57,1,,,,,,,
